Package,1.53.0,1.52.1,1.52.0,1.51.2,1.51.1,1.51.0,1.50.4,1.50.3,1.50.2,1.50.1,1.50.0,1.49.5,1.49.4,1.49.3,1.49.2,1.49.1,1.49.0,1.48.6,1.48.5,1.48.4,1.48.3,1.48.2,1.48.1,1.48.0,1.47.4,1.47.3,1.47.2,1.47.1,1.47.0,1.46.7,1.46.6,1.46.5,1.46.4,1.46.3,1.46.2,1.46.1,1.46.0,1.45.6,1.45.5,1.45.3,1.45.2,1.45.1,1.45.0,1.44.3,1.44.2,1.44.1,1.44.0,1.43.4,1.43.3,1.43.2,1.43.1,1.43.0,1.42.5,1.42.4,1.42.3,1.42.2,1.42.1,1.42.0,1.41.2,1.41.1,1.41.0,1.40.2,1.40.1,1.40.0,1.39.1,1.39.0,1.38.1,1.38.0,1.37.1,1.37.0,1.36.1,1.36.0,1.35.1,1.35.0,1.34.2,1.34.1,1.34.0,1.33.6,1.33.5,1.33.4,1.33.3,1.33.2,1.33.1,1.33.0,1.32.6,1.32.5,1.32.4,1.32.3,1.32.2,1.32.1,1.32.0,1.31.4,1.31.3,1.31.2,1.31.1,1.31.0,1.30.4,1.30.3,1.30.2,1.30.1,1.30.0,1.29.2,1.29.1,1.29.0,1.28.4,1.28.3,1.28.2,1.28.1,1.28.0,1.27.7,1.27.6,1.27.5,1.27.4,1.27.3,1.27.2,1.27.1,1.27.0,1.26.5,1.26.4,1.26.3,1.26.2,1.26.1,1.26.0,1.25.2,1.25.1,1.25.0,1.24.2,1.24.1,1.24.0,1.23.4,1.23.3,1.23.2,1.23.1,1.23.0,1.22.3,1.22.2,1.22.1,1.22.0,1.21.1,1.21.0,1.20.4,1.20.3,1.20.2,1.20.1,1.20.0,1.19.6,1.19.5,1.19.4,1.19.3,1.19.2,1.19.1,1.19.0,1.18.5,1.18.4,1.18.3,1.18.2,1.18.1,1.18.0,1.17.5,1.17.4,1.17.3,1.17.2,1.17.1,1.17.0,1.16.0,1.15.0,1.14.2,1.14.1,1.14.0,1.13.2,1.13.1,1.13.0,1.12.1,1.12.0,1.11.1,1.11.0,1.10.1,1.10.0,1.9.1,1.9.0,1.8.3,1.8.2,1.8.1,1.8.0,1.7.2,1.7.1,1.7.0,1.6.0,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.2,1.2.1,1.2.0,1.1.1,1.1.0,1.0.3,1.0.2,1.0.1,1.0.0
@backstage/app-defaults,1.7.10,1.7.9,1.7.9,1.7.8,1.7.8,1.7.8,1.7.7,1.7.7,1.7.7,1.7.7,1.7.7,1.7.6,1.7.6,1.7.6,1.7.6,1.7.6,1.7.6,1.7.5,1.7.5,1.7.5,1.7.5,1.7.5,1.7.5,1.7.5,1.7.4,1.7.4,1.7.4,1.7.4,1.7.4,1.7.3,1.7.3,1.7.3,1.7.3,1.7.3,1.7.3,1.7.3,1.7.3,1.7.2,1.7.2,1.7.2,1.7.2,1.7.2,1.7.2,1.7.1,1.7.1,1.7.1,1.7.1,1.7.0,1.7.0,1.7.0,1.7.0,1.7.0,1.6.5,1.6.5,1.6.5,1.6.5,1.6.5,1.6.5,1.6.4,1.6.4,1.6.4,1.6.3,1.6.3,1.6.3,1.6.2,1.6.2,1.6.1,1.6.1,1.6.0,1.6.0,1.5.17,1.5.17,1.5.16,1.5.16,1.5.15,1.5.15,1.5.15,1.5.14,1.5.14,1.5.14,1.5.14,1.5.13,1.5.13,1.5.13,1.5.12,1.5.12,1.5.12,1.5.12,1.5.12,1.5.12,1.5.12,1.5.11,1.5.11,1.5.11,1.5.11,1.5.11,1.5.10,1.5.10,1.5.10,1.5.10,1.5.10,1.5.9,1.5.8,1.5.8,1.5.7,1.5.7,1.5.6,1.5.6,1.5.6,1.5.5,1.5.5,1.5.5,1.5.5,1.5.5,1.5.5,1.5.5,1.5.5,1.5.4,1.5.4,1.5.4,1.5.4,1.5.4,1.5.4,1.5.3,1.5.3,1.5.3,1.5.2,1.5.1,1.5.1,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.4.7,1.4.7,1.4.7,1.4.7,1.4.6,1.4.6,1.4.5,1.4.5,1.4.5,1.4.5,1.4.5,1.4.4,1.4.4,1.4.4,1.4.4,1.4.4,1.4.4,1.4.4,1.4.3,1.4.3,1.4.3,1.4.3,1.4.3,1.4.3,1.4.2,1.4.2,1.4.2,1.4.2,1.4.2,1.4.2,1.4.1,1.4.0,1.3.1,1.3.1,1.3.1,1.3.0,1.3.0,1.3.0,1.2.1,1.2.1,1.2.0,1.2.0,1.1.0,1.1.0,1.0.10,1.0.9,1.0.8,1.0.8,1.0.8,1.0.8,1.0.7,1.0.7,1.0.7,1.0.6,1.0.5,1.0.5,1.0.4,1.0.3,1.0.3,1.0.2,1.0.2,1.0.2,1.0.1,1.0.1,1.0.0,1.0.0,1.0.0,1.0.0
@backstage/backend-app-api,1.7.2,1.7.1,1.7.1,1.7.0,1.7.0,1.7.0,1.6.1,1.6.1,1.6.1,1.6.1,1.6.1,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.4.1,1.4.1,1.4.1,1.4.1,1.4.1,1.4.0,1.4.0,1.4.0,1.4.0,1.4.0,1.4.0,1.4.0,1.4.0,1.3.0,1.3.0,1.3.0,1.3.0,1.3.0,1.3.0,1.2.8,1.2.8,1.2.8,1.2.8,1.2.7,1.2.7,1.2.7,1.2.7,1.2.7,1.2.6,1.2.6,1.2.6,1.2.6,1.2.6,1.2.6,1.2.5,1.2.5,1.2.5,1.2.4,1.2.4,1.2.4,1.2.3,1.2.3,1.2.2,1.2.2,1.2.1,1.2.1,1.2.0,1.2.0,1.1.1,1.1.1,1.1.0,1.1.0,1.1.0,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,0.9.3,0.9.2,0.9.2,0.9.1,0.9.0,0.8.0,0.8.0,0.8.0,0.7.9,0.7.9,0.7.8,0.7.7,0.7.6,0.7.5,0.7.5,0.7.5,0.7.5,0.7.5,0.7.5,0.7.4,0.7.3,0.7.2,0.7.1,0.7.0,0.7.0,0.7.0,0.7.0,0.6.2,0.6.2,0.6.2,0.6.1,0.6.0,0.6.0,0.5.14,0.5.13,0.5.12,0.5.11,0.5.11,0.5.10,0.5.10,0.5.10,0.5.10,0.5.9,0.5.9,0.5.8,0.5.8,0.5.8,0.5.8,0.5.8,0.5.7,0.5.7,0.5.7,0.5.7,0.5.7,0.5.6,0.5.6,0.5.5,0.5.5,0.5.4,0.5.3,0.5.3,0.5.3,0.5.2,0.5.2,0.5.2,0.5.1,0.5.0,0.5.0,0.4.5,0.4.4,0.4.3,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.1,0.4.1,0.4.0,0.4.0,0.3.1,0.3.0,0.2.4,0.2.4,0.2.3,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.0,,,,,,,,,,,
@backstage/backend-common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25.0,0.25.0,0.25.0,0.25.0,0.25.0,0.24.1,0.24.0,0.24.0,0.24.0,0.24.0,0.23.3,0.23.3,0.23.3,0.23.2,0.23.2,0.23.1,0.23.1,0.23.0,0.22.0,0.22.0,0.22.0,0.22.0,0.22.0,0.22.0,0.22.0,0.22.0,0.21.7,0.21.7,0.21.7,0.21.7,0.21.7,0.21.7,0.21.6,0.21.6,0.21.6,0.21.5,0.21.4,0.21.4,0.21.3,0.21.2,0.21.1,0.21.0,0.21.0,0.20.2,0.20.1,0.20.1,0.20.1,0.20.0,0.20.0,0.19.10,0.19.9,0.19.9,0.19.9,0.19.9,0.19.8,0.19.8,0.19.8,0.19.8,0.19.8,0.19.8,0.19.8,0.19.7,0.19.7,0.19.6,0.19.5,0.19.5,0.19.5,0.19.4,0.19.4,0.19.4,0.19.3,0.19.2,0.19.2,0.19.1,0.19.0,0.18.5,0.18.5,0.18.5,0.18.4,0.18.4,0.18.4,0.18.3,0.18.3,0.18.2,0.18.2,0.18.1,0.18.0,0.17.0,0.17.0,0.16.0,0.16.0,0.16.0,0.16.0,0.15.2,0.15.2,0.15.2,0.15.1,0.15.0,0.15.0,0.14.1,0.14.0,0.14.0,0.13.5,0.13.4,0.13.3,0.13.2,0.13.2,0.13.1,0.13.1,0.13.1,0.13.1
@backstage/backend-defaults,0.17.5,0.17.4,0.17.3,0.17.2,0.17.2,0.17.1,0.17.0,0.17.0,0.17.0,0.17.0,0.17.0,0.16.0,0.16.0,0.16.0,0.16.0,0.16.0,0.16.0,0.15.2,0.15.2,0.15.2,0.15.2,0.15.2,0.15.2,0.15.2,0.15.1,0.15.1,0.15.1,0.15.0,0.15.0,0.14.2,0.14.2,0.14.1,0.14.1,0.14.0,0.14.0,0.14.0,0.14.0,0.13.3,0.13.3,0.13.1,0.13.1,0.13.1,0.13.1,0.13.0,0.13.0,0.13.0,0.13.0,0.12.2,0.12.1,0.12.1,0.12.1,0.12.1,0.12.0,0.12.0,0.12.0,0.12.0,0.12.0,0.12.0,0.11.1,0.11.1,0.11.1,0.11.0,0.11.0,0.11.0,0.10.0,0.10.0,0.9.0,0.9.0,0.8.2,0.8.2,0.8.1,0.8.0,0.7.0,0.7.0,0.6.2,0.6.1,0.6.0,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3,0.5.3,0.5.2,0.5.2,0.5.2,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.5.0,0.5.0,0.5.0,0.4.4,0.4.3,0.4.3,0.4.3,0.4.2,0.4.1,0.4.1,0.4.0,0.3.3,0.3.3,0.3.2,0.3.1,0.3.0,0.2.18,0.2.18,0.2.18,0.2.18,0.2.18,0.2.18,0.2.18,0.2.18,0.2.17,0.2.17,0.2.17,0.2.17,0.2.17,0.2.17,0.2.16,0.2.16,0.2.16,0.2.15,0.2.14,0.2.14,0.2.13,0.2.12,0.2.11,0.2.10,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.8,0.2.7,0.2.7,0.2.7,0.2.7,0.2.7,0.2.6,0.2.6,0.2.6,0.2.6,0.2.6,0.2.6,0.2.6,0.2.5,0.2.5,0.2.4,0.2.3,0.2.3,0.2.3,0.2.2,0.2.2,0.2.2,0.2.1,0.2.0,0.2.0,0.1.12,0.1.11,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.8,0.1.8,0.1.7,0.1.7,0.1.6,0.1.5,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,
@backstage/backend-dev-utils,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.7,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.6,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.5,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.1,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/backend-dynamic-feature-service,0.8.4,0.8.3,0.8.3,0.8.2,0.8.2,0.8.2,0.8.1,0.8.1,0.8.1,0.8.1,0.8.1,0.8.0,0.8.0,0.8.0,0.8.0,0.8.0,0.8.0,0.7.9,0.7.9,0.7.9,0.7.9,0.7.9,0.7.9,0.7.9,0.7.8,0.7.8,0.7.8,0.7.8,0.7.8,0.7.7,0.7.7,0.7.7,0.7.7,0.7.7,0.7.7,0.7.7,0.7.7,0.7.6,0.7.6,0.7.6,0.7.6,0.7.6,0.7.6,0.7.5,0.7.5,0.7.5,0.7.5,0.7.4,0.7.4,0.7.4,0.7.4,0.7.4,0.7.3,0.7.3,0.7.3,0.7.3,0.7.3,0.7.3,0.7.2,0.7.2,0.7.2,0.7.1,0.7.1,0.7.1,0.7.0,0.7.0,0.6.2,0.6.2,0.6.1,0.6.1,0.6.0,0.6.0,0.5.3,0.5.3,0.5.2,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.5.0,0.5.0,0.5.0,0.4.4,0.4.3,0.4.3,0.4.3,0.4.3,0.4.2,0.4.2,0.4.2,0.4.1,0.4.1,0.4.0,0.4.0,0.3.2,0.3.1,0.3.0,0.3.0,0.3.0,0.2.15,0.2.15,0.2.15,0.2.14,0.2.14,0.2.13,0.2.12,0.2.11,0.2.10,0.2.10,0.2.10,0.2.10,0.2.10,0.2.10,0.2.10,0.2.10,0.2.9,0.2.9,0.2.9,0.2.9,0.2.9,0.2.9,0.2.8,0.2.7,0.2.7,0.2.6,0.2.5,0.2.4,0.2.3,0.2.2,0.2.1,0.2.0,0.2.0,0.1.0,0.1.0,0.1.0,0.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/backend-openapi-utils,0.7.0,0.6.10,0.6.10,0.6.9,0.6.9,0.6.9,0.6.8,0.6.8,0.6.8,0.6.8,0.6.8,0.6.7,0.6.7,0.6.7,0.6.7,0.6.7,0.6.7,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.5,0.6.5,0.6.5,0.6.5,0.6.5,0.6.4,0.6.4,0.6.4,0.6.4,0.6.4,0.6.4,0.6.4,0.6.4,0.6.3,0.6.3,0.6.3,0.6.3,0.6.3,0.6.3,0.6.2,0.6.2,0.6.2,0.6.2,0.6.1,0.6.1,0.6.1,0.6.1,0.6.1,0.6.0,0.6.0,0.6.0,0.6.0,0.6.0,0.6.0,0.5.5,0.5.5,0.5.5,0.5.4,0.5.4,0.5.4,0.5.3,0.5.3,0.5.2,0.5.2,0.5.1,0.5.1,0.5.0,0.5.0,0.4.1,0.4.1,0.4.0,0.4.0,0.4.0,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0,0.3.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.2.0,0.1.18,0.1.18,0.1.18,0.1.18,0.1.18,0.1.17,0.1.16,0.1.16,0.1.16,0.1.16,0.1.15,0.1.15,0.1.15,0.1.14,0.1.14,0.1.13,0.1.13,0.1.12,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.11,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.10,0.1.9,0.1.9,0.1.9,0.1.8,0.1.7,0.1.7,0.1.6,0.1.5,0.1.4,0.1.3,0.1.3,0.1.2,0.1.2,0.1.2,0.1.2,0.1.1,0.1.1,0.1.0,0.1.0,0.1.0,0.1.0,0.1.0,0.0.5,0.0.5,0.0.5,0.0.5,0.0.5,0.0.5,0.0.5,0.0.4,0.0.4,0.0.4,0.0.4,0.0.4,0.0.4,0.0.3,0.0.3,0.0.3,0.0.3,0.0.3,0.0.3,0.0.2,0.0.2,0.0.2,0.0.2,0.0.2,0.0.1,0.0.1,0.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@backstage/backend-plugin-api,1.9.3,1.9.2,1.9.2,1.9.1,1.9.1,1.9.1,1.9.0,1.9.0,1.9.0,1.9.0,1.9.0,1.8.0,1.8.0,1.8.0,1.8.0,1.8.0,1.8.0,1.7.0,1.7.0,1.7.0,1.7.0,1.7.0,1.7.0,1.7.0,1.6.2,1.6.2,1.6.2,1.6.1,1.6.1,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.5.0,1.4.4,1.4.4,1.4.4,1.4.4,1.4.3,1.4.3,1.4.3,1.4.3,1.4.3,1.4.2,1.4.2,1.4.2,1.4.2,1.4.2,1.4.2,1.4.1,1.4.1,1.4.1,1.4.0,1.4.0,1.4.0,1.3.1,1.3.1,1.3.0,1.3.0,1.2.1,1.2.1,1.2.0,1.2.0,1.1.1,1.1.1,1.1.0,1.1.0,1.1.0,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.2,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.1,1.0.0,1.0.0,1.0.0,1.0.0,1.0.0,0.8.1,0.8.0,0.8.0,0.8.0,0.8.0,0.7.0,0.7.0,0.7.0,0.6.21,0.6.21,0.6.20,0.6.20,0.6.19,0.6.18,0.6.18,0.6.18,0.6.18,0.6.18,0.6.18,0.6.18,0.6.18,0.6.17,0.6.17,0.6.17,0.6.17,0.6.17,0.6.17,0.6.16,0.6.16,0.6.16,0.6.15,0.6.14,0.6.14,0.6.13,0.6.12,0.6.11,0.6.10,0.6.10,0.6.9,0.6.9,0.6.9,0.6.9,0.6.8,0.6.8,0.6.7,0.6.7,0.6.7,0.6.7,0.6.7,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.6,0.6.5,0.6.5,0.6.4,0.6.3,0.6.3,0.6.3,0.6.2,0.6.2,0.6.2,0.6.1,0.6.0,0.6.0,0.5.4,0.5.3,0.5.2,0.5.2,0.5.2,0.5.1,0.5.1,0.5.1,0.5.0,0.5.0,0.4.0,0.4.0,0.3.1,0.3.0,0.2.0,0.2.0,0.1.4,0.1.4,0.1.4,0.1.4,0.1.3,0.1.3,0.1.3,0.1.2,0.1.1,0.1.1,0.1.0,,,,,,,,,,,
@backstage/backend-tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6.1,0.6.0,0.6.0,0.6.0,0.6.0,0.5.27,0.5.27,0.5.27,0.5.26,0.5.26,0.5.25,0.5.25,0.5.24,0.5.23,0.5.23,0.5.23,0.5.23,0.5.23,0.5.23,0.5.23,0.5.23,0.5.22,0.5.22,0.5.22,0.5.22,0.5.22,0.5.22,0.5.21,0.5.21,0.5.21,0.5.20,0.5.19,0.5.19,0.5.18,0.5.17,0.5.16,0.5.15,0.5.15,0.5.14,0.5.14,0.5.14,0.5.14,0.5.13,0.5.13,0.5.12,0.5.12,0.5.12,0.5.12,0.5.12,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.11,0.5.10,0.5.10,0.5.9,0.5.8,0.5.8,0.5.8,0.5.7,0.5.7,0.5.7,0.5.6,0.5.5,0.5.5,0.5.4,0.5.3,0.5.2,0.5.2,0.5.2,0.5.1,0.5.1,0.5.1,0.5.0,0.5.0,0.4.3,0.4.3,0.4.2,0.4.1,0.4.0,0.4.0,0.3.7,0.3.7,0.3.7,0.3.7,0.3.6,0.3.6,0.3.6,0.3.5,0.3.4,0.3.4,0.3.3,0.3.2,0.3.2,0.3.1,0.3.1,0.3.1,0.3.0,0.3.0,0.2.1,0.2.1,0.2.1,0.2.1
