Release,Compared to,Added,Removed,Upgraded,Unchanged,Major ⚠️,0.x Minor ⚠️,0.0.x Patch ⚠️
1.53.0,1.52.1,1,0,185,25,0,8,3
1.52.1,1.51.2,1,0,185,24,0,3,3
1.51.2,1.50.4,2,0,198,9,3,8,4
1.50.4,1.49.5,0,0,199,8,0,10,4
1.49.5,1.48.6,14,1,176,17,3,18,3
1.48.6,1.47.4,2,0,186,6,2,18,4
1.47.4,1.46.7,2,0,128,62,0,7,2
1.46.7,1.45.6,0,0,173,17,1,11,4
1.45.6,1.44.3,0,0,178,12,0,8,4
1.44.3,1.43.4,1,0,175,14,1,7,4
1.43.4,1.42.5,2,0,162,25,0,8,2
1.42.5,1.41.2,0,1,158,29,0,12,2
1.41.2,1.40.2,1,0,174,13,1,3,5
1.40.2,1.39.1,2,0,160,25,1,12,4
1.39.1,1.38.1,2,0,169,14,1,15,5
1.38.1,1.37.1,4,0,154,25,0,10,3
1.37.1,1.36.1,0,0,155,24,2,20,3
1.36.1,1.35.1,1,0,155,23,0,26,3
1.35.1,1.34.2,1,0,166,11,0,3,5
1.34.2,1.33.6,0,0,167,10,0,12,6
1.33.6,1.32.6,0,0,169,8,0,19,5
1.32.6,1.31.4,0,1,157,20,0,12,3
1.31.4,1.30.4,4,1,158,16,3,58,3
1.30.4,1.29.2,1,0,157,17,0,33,6
1.29.2,1.28.4,2,0,153,19,0,7,7
1.28.4,1.27.7,2,0,159,11,0,17,8
1.27.7,1.26.5,3,103,146,21,0,5,3
1.26.5,1.25.2,3,0,249,18,0,13,8
1.25.2,1.24.2,0,0,225,42,0,2,5
1.24.2,1.23.4,4,0,251,12,1,33,7
1.23.4,1.22.3,13,1,233,17,1,22,4
1.22.3,1.21.1,2,0,226,23,0,3,5
1.21.1,1.20.4,10,2,220,19,0,12,4
1.20.4,1.19.6,3,0,221,17,1,12,5
1.19.6,1.18.5,7,0,221,10,0,14,4
1.18.5,1.17.5,10,0,217,4,0,21,6
1.17.5,1.16.0,3,0,189,29,0,10,2
1.16.0,1.15.0,0,0,201,17,1,2,2
1.15.0,1.14.2,5,0,199,14,1,7,2
1.14.2,1.13.2,4,0,178,31,1,14,2
1.13.2,1.12.1,8,0,186,15,1,13,2
1.12.1,1.11.1,3,0,188,10,1,5,3
1.11.1,1.10.1,14,0,167,17,1,14,2
1.10.1,1.9.1,2,0,169,13,0,5,2
1.9.1,1.8.3,6,0,171,5,0,11,2
1.8.3,1.7.2,13,0,158,5,0,12,2
1.7.2,1.6.0,0,0,155,8,1,9,1
1.6.0,1.5.1,4,0,153,6,0,7,2
1.5.1,1.4.0,4,0,139,16,0,8,1
1.4.0,1.3.1,7,0,143,5,6,15,2
1.3.1,1.2.2,6,2,133,9,0,7,2
1.2.2,1.1.1,7,0,132,5,1,5,2
1.1.1,1.0.3,5,0,124,8,0,14,1
1.0.3,,,,,,,,
