Package,Backstage role,Description
@backstage/app-defaults,web-library,Provides the default wiring of a Backstage App
@backstage/backend-app-api,node-library,Core API used by Backstage backend apps
@backstage/backend-defaults,node-library,Backend defaults used by Backstage backend apps
@backstage/backend-dev-utils,node-library,
@backstage/backend-dynamic-feature-service,node-library,Backstage dynamic feature service
@backstage/backend-openapi-utils,node-library,OpenAPI typescript support.
@backstage/backend-plugin-api,node-library,Core API used by Backstage backend plugins
@backstage/backend-test-utils,node-library,Test helpers library for Backstage backends
@backstage/catalog-client,common-library,An isomorphic client for the catalog backend
@backstage/catalog-model,common-library,Types and validators that help describe the model of a Backstage Catalog
@backstage/cli,cli,CLI for developing Backstage plugins and apps
@backstage/cli-common,node-library,"Common functionality used by cli, backend, and create-app"
@backstage/cli-defaults,cli-module,Default set of CLI modules for the Backstage CLI
@backstage/cli-module-actions,cli-module,CLI module for executing distributed actions
@backstage/cli-module-auth,cli-module,CLI module for Backstage CLI
@backstage/cli-module-build,cli-module,CLI module for Backstage CLI
@backstage/cli-module-config,cli-module,CLI module for Backstage CLI
@backstage/cli-module-github,cli-module,CLI module for Backstage CLI
@backstage/cli-module-info,cli-module,CLI module for Backstage CLI
@backstage/cli-module-lint,cli-module,CLI module for Backstage CLI
@backstage/cli-module-maintenance,cli-module,CLI module for Backstage CLI
@backstage/cli-module-migrate,cli-module,CLI module for Backstage CLI
@backstage/cli-module-new,cli-module,CLI module for Backstage CLI
@backstage/cli-module-test-jest,cli-module,CLI module for Backstage CLI
@backstage/cli-module-translations,cli-module,CLI module for Backstage CLI
@backstage/cli-node,node-library,Node.js library for Backstage CLIs
@backstage/codemods,cli,A collection of codemods for Backstage projects
@backstage/config,common-library,"Config API used by Backstage core, backend, and CLI"
@backstage/config-loader,node-library,"Config loading functionality used by Backstage backend, and CLI"
@backstage/connections,common-library,Connections framework used by Backstage to better manage external connections used by integrations and plugins
@backstage/core-app-api,web-library,Core app API used by Backstage apps
@backstage/core-compat-api,web-library,
@backstage/core-components,web-library,Core components used by Backstage plugins and apps
@backstage/core-plugin-api,web-library,Core API used by Backstage plugins
@backstage/create-app,cli,A CLI that helps you create your own Backstage app
@backstage/dev-utils,web-library,Utilities for developing Backstage plugins.
@backstage/e2e-test-utils,node-library,Shared end-to-end test utilities Backstage
@backstage/errors,common-library,Common utilities for error handling within Backstage
@backstage/eslint-plugin,,Backstage ESLint plugin
@backstage/filter-predicates,common-library,A library for expressing filter predicates and evaluating them against values
@backstage/frontend-app-api,web-library,
@backstage/frontend-defaults,web-library,
@backstage/frontend-dev-utils,web-library,Utilities for developing Backstage frontend plugins using the new frontend system.
@backstage/frontend-dynamic-feature-loader,web-library,
@backstage/frontend-plugin-api,web-library,
@backstage/frontend-test-utils,web-library,
@backstage/integration,common-library,Helpers for managing integrations towards external systems
@backstage/integration-aws-node,node-library,Helpers for fetching AWS account credentials
@backstage/integration-react,web-library,Frontend package for managing integrations towards external systems
@backstage/module-federation-common,common-library,Helper library for module federation
@backstage/plugin-api-docs,frontend-plugin,A Backstage plugin that helps represent API entities in the frontend
@backstage/plugin-api-docs-module-protoc-gen-doc,frontend-plugin-module,Additional functionalities for the api-docs plugin that renders the output of the protoc-gen-doc
@backstage/plugin-app,frontend-plugin,
@backstage/plugin-app-backend,backend-plugin,A Backstage backend plugin that serves the Backstage frontend app
@backstage/plugin-app-module-user-settings,frontend-plugin-module,Registers user-settings features into the app.
@backstage/plugin-app-node,node-library,Node.js library for the app plugin
@backstage/plugin-app-react,web-library,Web library for the app plugin
@backstage/plugin-app-visualizer,frontend-plugin,Visualizes the Backstage app structure
@backstage/plugin-auth,frontend-plugin,
@backstage/plugin-auth-backend,backend-plugin,A Backstage backend plugin that handles authentication
@backstage/plugin-auth-backend-module-atlassian-provider,backend-plugin-module,The atlassian-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-auth0-provider,backend-plugin-module,The auth0-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-aws-alb-provider,backend-plugin-module,The aws-alb provider module for the Backstage auth backend.
@backstage/plugin-auth-backend-module-azure-easyauth-provider,backend-plugin-module,The azure-easyauth-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-bitbucket-provider,backend-plugin-module,The bitbucket-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-bitbucket-server-provider,backend-plugin-module,The bitbucket-server-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-cloudflare-access-provider,backend-plugin-module,The cloudflare-access-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-gcp-iap-provider,backend-plugin-module,A GCP IAP auth provider module for the Backstage auth backend
@backstage/plugin-auth-backend-module-github-provider,backend-plugin-module,The github-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-gitlab-provider,backend-plugin-module,The gitlab-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-google-provider,backend-plugin-module,A Google auth provider module for the Backstage auth backend
@backstage/plugin-auth-backend-module-guest-provider,backend-plugin-module,The guest-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-microsoft-provider,backend-plugin-module,The microsoft-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-oauth2-provider,backend-plugin-module,The oauth2-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-oauth2-proxy-provider,backend-plugin-module,The oauth2-proxy-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-oidc-provider,backend-plugin-module,The oidc-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-okta-provider,backend-plugin-module,The okta-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-onelogin-provider,backend-plugin-module,The onelogin-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-openshift-provider,backend-plugin-module,The OpenShift backend module for the auth plugin.
@backstage/plugin-auth-backend-module-pinniped-provider,backend-plugin-module,The pinniped-provider backend module for the auth plugin.
@backstage/plugin-auth-backend-module-vmware-cloud-provider,backend-plugin-module,The vmware-cloud-provider backend module for the auth plugin.
@backstage/plugin-auth-node,node-library,
@backstage/plugin-auth-react,web-library,Web library for the auth plugin
@backstage/plugin-bitbucket-cloud-common,common-library,Common functionalities for bitbucket-cloud plugins
@backstage/plugin-catalog,frontend-plugin,The Backstage plugin for browsing the Backstage catalog
@backstage/plugin-catalog-backend,backend-plugin,The Backstage backend plugin that provides the Backstage catalog
@backstage/plugin-catalog-backend-module-ai-model,backend-plugin-module,Adds support for the AiResource entity kind to the catalog backend plugin.
@backstage/plugin-catalog-backend-module-aws,backend-plugin-module,A Backstage catalog backend module that helps integrate towards AWS
@backstage/plugin-catalog-backend-module-azure,backend-plugin-module,A Backstage catalog backend module that helps integrate towards Azure
@backstage/plugin-catalog-backend-module-backstage-openapi,backend-plugin-module,
@backstage/plugin-catalog-backend-module-bitbucket-cloud,backend-plugin-module,A Backstage catalog backend module that helps integrate towards Bitbucket Cloud
@backstage/plugin-catalog-backend-module-bitbucket-server,backend-plugin-module,
@backstage/plugin-catalog-backend-module-gcp,backend-plugin-module,A Backstage catalog backend module that helps integrate towards GCP
@backstage/plugin-catalog-backend-module-gerrit,backend-plugin-module,
@backstage/plugin-catalog-backend-module-gitea,backend-plugin-module,The gitea backend module for the catalog plugin.
@backstage/plugin-catalog-backend-module-github,backend-plugin-module,A Backstage catalog backend module that helps integrate towards GitHub
@backstage/plugin-catalog-backend-module-github-org,backend-plugin-module,The github-org backend module for the catalog plugin.
@backstage/plugin-catalog-backend-module-gitlab,backend-plugin-module,A Backstage catalog backend module that helps integrate towards GitLab
@backstage/plugin-catalog-backend-module-gitlab-org,backend-plugin-module,The gitlab-org backend module for the catalog plugin.
@backstage/plugin-catalog-backend-module-incremental-ingestion,backend-plugin-module,An entity provider for streaming large asset sources into the catalog
@backstage/plugin-catalog-backend-module-ldap,backend-plugin-module,A Backstage catalog backend module that helps integrate towards LDAP
@backstage/plugin-catalog-backend-module-logs,backend-plugin-module,A module that subscribes to catalog related events and logs them.
@backstage/plugin-catalog-backend-module-msgraph,backend-plugin-module,A Backstage catalog backend module that helps integrate towards Microsoft Graph
@backstage/plugin-catalog-backend-module-msgraph-incremental,backend-plugin-module,A Backstage catalog backend module that incrementally ingests users and groups from Microsoft Graph
@backstage/plugin-catalog-backend-module-openapi,backend-plugin-module,A Backstage catalog backend module that helps with OpenAPI specifications
@backstage/plugin-catalog-backend-module-puppetdb,backend-plugin-module,A Backstage catalog backend module that helps integrate towards PuppetDB
@backstage/plugin-catalog-backend-module-scaffolder-entity-model,backend-plugin-module,Adds support for the scaffolder specific entity model (e.g. the Template kind) to the catalog backend plugin.
@backstage/plugin-catalog-backend-module-unprocessed,backend-plugin-module,Backstage Catalog module to view unprocessed entities
